zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name,coastalZip,coastalCounty,ALLCoastalCounty,state
90210,"BEVERLY HILLS, CA",H,32353,G,648013,G,2653591,2536,BEVERLY HILLS,CA,LOS ANGELES,0,1,0,California
90211,"BEVERLY HILLS, CA",G,12038,G,273105,G,1250065,1980,BEVERLY HILLS,CA,LOS ANGELES,0,1,0,California
90212,"BEVERLY HILLS, CA",G,15564,G,565367,G,2132083,2322,BEVERLY HILLS,CA,LOS ANGELES,0,1,0,California
90220,"COMPTON, CA",G,18487,G,291076,G,1145054,810,COMPTON,CA,LOS ANGELES,0,1,0,California
90221,"COMPTON, CA",G,13435,G,256741,G,910855,675,COMPTON,CA,LOS ANGELES,0,1,0,California
90222,"COMPTON, CA",G,2472,G,29471,G,123156,243,COMPTON,CA,LOS ANGELES,0,1,0,California
90230,"CULVER CITY, CA",G,25629,G,462322,G,2203357,1569,CULVER CITY,CA,LOS ANGELES,0,1,0,California
90232,"CULVER CITY, CA",G,32575,G,907107,G,4377883,1342,CULVER CITY,CA,LOS ANGELES,0,1,0,California
90240,"DOWNEY, CA",G,5318,G,44886,G,193981,610,DOWNEY,CA,LOS ANGELES,0,1,0,California
90241,"DOWNEY, CA",G,18127,G,234372,G,939032,1315,DOWNEY,CA,LOS ANGELES,0,1,0,California
90242,"DOWNEY, CA",G,16330,G,306278,G,1292648,600,DOWNEY,CA,LOS ANGELES,0,1,0,California
90245,"EL SEGUNDO, CA",G,80838,G,2878422,G,10356804,2288,EL SEGUNDO,CA,LOS ANGELES,1,1,0,California
90247,"GARDENA, CA",G,11938,G,158779,G,628625,859,GARDENA,CA,LOS ANGELES,0,1,0,California
90248,"GARDENA, CA",G,32047,G,497231,G,2056878,1387,GARDENA,CA,LOS ANGELES,0,1,0,California
90249,"GARDENA, CA",G,9690,G,124039,G,528255,761,GARDENA,CA,LOS ANGELES,0,1,0,California
90250,"HAWTHORNE, CA",G,28756,H,536014,H,2525596,1403,HAWTHORNE,CA,LOS ANGELES,0,1,0,California
90254,"HERMOSA BEACH, CA",G,7516,G,119211,G,452338,1128,HERMOSA BEACH,CA,LOS ANGELES,1,1,0,California
90255,"HUNTINGTON PARK, CA",G,14789,G,166388,G,698934,1004,HUNTINGTON PARK,CA,LOS ANGELES,0,1,0,California
90260,"LAWNDALE, CA",G,4720,G,53196,G,224623,604,LAWNDALE,CA,LOS ANGELES,0,1,0,California
90262,"LYNWOOD, CA",H,9411,H,115880,H,486561,762,LYNWOOD,CA,LOS ANGELES,0,1,0,California
90263,"MALIBU, CA",J,3379,J,31744,J,132971,8,MALIBU,CA,LOS ANGELES,1,1,0,California
90265,"MALIBU, CA",G,7752,G,156000,G,644217,997,MALIBU,CA,LOS ANGELES,1,1,0,California
90266,"MANHATTAN BEACH, CA",G,17639,G,341013,G,1439995,2046,MANHATTAN BEACH,CA,LOS ANGELES,1,1,0,California
90270,"MAYWOOD, CA",G,3143,G,36192,G,146884,280,MAYWOOD,CA,LOS ANGELES,0,1,0,California
90272,"PACIFIC PALISADES, CA",G,6666,G,103379,G,450854,1038,PACIFIC PALISADES,CA,LOS ANGELES,1,1,0,California
90274,"PALOS VERDES PENINSULA, CA",G,7499,G,113556,G,482346,1069,PALOS VERDES PENINSULA,CA,LOS ANGELES,1,1,0,California
90275,"RANCHO PALOS VERDES, CA",H,6239,H,78283,G,334666,888,RANCHO PALOS VERDES,CA,LOS ANGELES,1,1,0,California
90277,"REDONDO BEACH, CA",G,10996,G,137871,G,576534,1550,REDONDO BEACH,CA,LOS ANGELES,1,1,0,California
90278,"REDONDO BEACH, CA",H,18982,J,405101,H,1523310,1264,REDONDO BEACH,CA,LOS ANGELES,0,1,0,California
90280,"SOUTH GATE, CA",G,16325,G,206788,G,860858,1109,SOUTH GATE,CA,LOS ANGELES,0,1,0,California
90290,"TOPANGA, CA",G,1099,H,13151,G,64861,318,TOPANGA,CA,LOS ANGELES,0,1,0,California
90291,"VENICE, CA",G,13975,H,390855,H,1610376,1645,VENICE,CA,LOS ANGELES,1,1,0,California
90292,"MARINA DEL REY, CA",G,15926,G,292965,G,1159818,1699,MARINA DEL REY,CA,LOS ANGELES,1,1,0,California
90293,"PLAYA DEL REY, CA",G,1490,G,20254,G,91510,406,PLAYA DEL REY,CA,LOS ANGELES,1,1,0,California
90301,"INGLEWOOD, CA",G,12879,G,161958,G,672287,869,INGLEWOOD,CA,LOS ANGELES,0,1,0,California
90302,"INGLEWOOD, CA",G,4355,G,69516,G,275217,379,INGLEWOOD,CA,LOS ANGELES,0,1,0,California
90303,"INGLEWOOD, CA",G,5097,G,47880,G,197694,309,INGLEWOOD,CA,LOS ANGELES,0,1,0,California
90304,"INGLEWOOD, CA",G,2426,G,25714,G,105369,297,INGLEWOOD,CA,LOS ANGELES,0,1,0,California
90305,"INGLEWOOD, CA",G,2019,H,50347,H,177298,146,INGLEWOOD,CA,LOS ANGELES,0,1,0,California
90401,"SANTA MONICA, CA",G,28887,G,823473,G,2883929,1817,SANTA MONICA,CA,LOS ANGELES,1,1,0,California
90402,"SANTA MONICA, CA",G,1860,G,31699,G,148400,482,SANTA MONICA,CA,LOS ANGELES,1,1,0,California
90403,"SANTA MONICA, CA",G,10765,H,189430,H,855966,1583,SANTA MONICA,CA,LOS ANGELES,1,1,0,California
90404,"SANTA MONICA, CA",G,32963,G,1227783,H,6138109,1574,SANTA MONICA,CA,LOS ANGELES,0,1,0,California
90405,"SANTA MONICA, CA",G,19145,H,915443,G,3351705,1839,SANTA MONICA,CA,LOS ANGELES,1,1,0,California
90501,"TORRANCE, CA",G,27757,G,480664,G,1977872,1849,TORRANCE,CA,LOS ANGELES,0,1,0,California
90502,"TORRANCE, CA",H,18985,H,428424,H,1638982,672,TORRANCE,CA,LOS ANGELES,0,1,0,California
90503,"TORRANCE, CA",G,30491,G,505214,G,2033178,2158,TORRANCE,CA,LOS ANGELES,0,1,0,California
90504,"TORRANCE, CA",G,9527,G,149650,G,605966,689,TORRANCE,CA,LOS ANGELES,0,1,0,California
90505,"TORRANCE, CA",G,31411,G,498792,G,2057374,2208,TORRANCE,CA,LOS ANGELES,0,1,0,California
90601,"WHITTIER, CA",G,13278,G,169951,G,721550,702,WHITTIER,CA,LOS ANGELES,0,1,0,California
90602,"WHITTIER, CA",H,10321,H,172000,H,684366,538,WHITTIER,CA,LOS ANGELES,0,1,0,California
90603,"WHITTIER, CA",G,5612,G,65814,G,269654,458,WHITTIER,CA,LOS ANGELES,0,1,0,California
90604,"WHITTIER, CA",G,1853,G,16815,G,74018,308,WHITTIER,CA,LOS ANGELES,0,1,0,California
90605,"WHITTIER, CA",G,5563,G,52337,G,217743,609,WHITTIER,CA,LOS ANGELES,0,1,0,California
90606,"WHITTIER, CA",G,6005,G,75175,G,291849,422,WHITTIER,CA,LOS ANGELES,0,1,0,California
90620,"BUENA PARK, CA",G,23068,G,290311,G,1217469,1015,BUENA PARK,CA,ORANGE,0,1,0,California
90621,"BUENA PARK, CA",G,11275,G,169122,G,702974,1170,BUENA PARK,CA,ORANGE,0,1,0,California
90623,"LA PALMA, CA",G,6336,G,133210,G,524845,438,LA PALMA,CA,ORANGE,0,1,0,California
90630,"CYPRESS, CA",G,21856,G,416323,G,1721434,1278,CYPRESS,CA,ORANGE,0,1,0,California
90631,"LA HABRA, CA",G,15356,G,163704,G,692095,1498,LA HABRA,CA,ORANGE,0,1,0,California
