fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,full_fips,coastalCounty,ALLCoastalCounty
06,095,6242,H,254,H,3138,H,15467,17,9,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62421,G,64,G,496,G,2169,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624210,G,64,G,496,G,2169,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62422,J,190,J,2642,J,13298,14,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624221,J,158,J,2219,J,11325,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624229,G,32,G,423,H,1973,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,6243,J,335,H,2812,H,11750,11,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62431,J,335,H,2812,H,11750,11,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624310,J,335,H,2812,H,11750,11,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,6244,G,593,G,4674,G,20260,116,76,20,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62441,G,593,G,4674,G,20260,116,76,20,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624410,G,593,G,4674,G,20260,116,76,20,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71,G,2377,G,15030,H,64705,114,56,19,14,19,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,711,H,119,H,721,G,3314,21,14,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,7111,J,17,G,112,G,490,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71111,G,5,J,45,H,207,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,711110,G,5,J,45,H,207,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71113,J,7,G,64,G,262,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,711130,J,7,G,64,G,262,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,7112,H,39,J,280,J,1212,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71121,H,39,J,280,J,1212,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,7113,J,35,J,235,J,1070,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71132,G,11,H,43,G,197,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,711320,G,11,H,43,G,197,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,7115,J,28,J,94,H,542,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71151,J,28,J,94,H,542,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,711510,J,28,J,94,H,542,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,712,G,21,G,168,G,808,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,7121,G,21,G,168,G,808,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,71211,G,20,G,157,G,781,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
