ZIP,shore,FIPS,LDB,nonp,State,State_FIPS
3823,0,33017,0,1,NH,33
3824,1,33017,0,1,NH,33
3825,0,33017,0,1,NH,33
3826,0,33015,0,1,NH,33
3827,0,33015,0,1,NH,33
3833,0,33015,0,1,NH,33
3835,0,33017,0,1,NH,33
3839,0,33017,0,1,NH,33
3840,1,33015,0,1,NH,33
3841,0,33015,0,1,NH,33
3842,1,33015,0,1,NH,33
3844,1,33015,0,1,NH,33
3848,0,33015,0,1,NH,33
3851,0,33017,0,1,NH,33
3852,0,33017,0,1,NH,33
3854,1,33015,0,1,NH,33
3855,0,33017,0,1,NH,33
3856,1,33015,0,1,NH,33
3857,1,33015,0,1,NH,33
3858,0,33015,0,1,NH,33
3861,0,33017,0,1,NH,33
3862,1,33015,0,1,NH,33
3865,0,33015,0,1,NH,33
3867,0,33017,0,1,NH,33
3868,0,33017,0,1,NH,33
3869,0,33017,0,1,NH,33
3870,1,33015,0,1,NH,33
3871,1,33015,0,1,NH,33
3873,0,33015,0,1,NH,33
3874,1,33015,0,1,NH,33
3878,0,33017,0,1,NH,33
3884,0,33017,0,1,NH,33
3885,1,33015,0,1,NH,33
3887,0,33017,0,1,NH,33
3902,1,23031,1,0,ME,23
3903,1,23031,1,0,ME,23
3904,1,23031,1,0,ME,23
3905,1,23031,1,0,ME,23
3907,1,23031,1,0,ME,23
3909,1,23031,1,0,ME,23
3911,1,23031,1,0,ME,23
4003,1,23005,1,0,ME,23
4005,1,23031,1,0,ME,23
4006,1,23031,1,0,ME,23
4008,1,23023,1,0,ME,23
4011,1,23005,1,0,ME,23
4017,1,23005,1,0,ME,23
4019,1,23005,1,0,ME,23
4032,1,23005,1,0,ME,23
4043,1,23031,1,0,ME,23
4046,1,23031,1,0,ME,23
4050,1,23005,1,0,ME,23
4063,1,23013,1,0,ME,23
4063,1,23013,1,0,ME,23
4064,1,23031,1,0,ME,23
4066,1,23005,1,0,ME,23
4072,1,23031,1,0,ME,23
4074,1,23005,1,0,ME,23
4079,1,23005,1,0,ME,23
4090,1,23031,1,0,ME,23
4092,1,23005,1,0,ME,23
4096,1,23005,1,0,ME,23
4097,1,23005,1,0,ME,23
4101,1,23005,1,0,ME,23
4102,1,23005,1,0,ME,23
4103,1,23005,1,0,ME,23
4105,1,23005,1,0,ME,23
4106,1,23005,1,0,ME,23
4107,1,23005,1,0,ME,23
4108,1,23005,1,0,ME,23
4109,1,23005,1,0,ME,23
4110,1,23005,1,0,ME,23
4342,1,23015,1,0,ME,23
4416,1,23009,1,0,ME,23
4421,1,23009,1,0,ME,23
4431,1,23009,1,0,ME,23
4438,1,23027,1,0,ME,23
4472,1,23009,1,0,ME,23
4476,1,23009,1,0,ME,23
4496,1,23027,1,0,ME,23
4530,1,23023,1,0,ME,23
4535,1,23015,1,0,ME,23
4537,1,23015,1,0,ME,23
4538,1,23015,1,0,ME,23
4539,1,23015,1,0,ME,23
4541,1,23015,1,0,ME,23
4543,1,23015,1,0,ME,23
4544,1,23015,1,0,ME,23
4547,1,23013,1,0,ME,23
4548,1,23023,1,0,ME,23
